object,stimulus,angle,response,time
low,9,9.50,left,1487166598.575845
high,99,54.50,right,1487166600.046709
high,92,51.00,right,1487166601.584230
high,87,48.50,right,1487166602.959800
low,116,63.00,right,1487166604.499551
low,18,14.00,left,1487166606.065192
mid,98,54.00,right,1487166607.767540
mid,92,51.00,right,1487166609.047147
low,33,21.50,left,1487166610.667969
high,36,23.00,left,1487166612.057478
mid,49,29.50,left,1487166613.568250
low,110,60.00,right,1487166614.956922
high,4,7.00,left,1487166616.508406
low,29,19.50,left,1487166617.978294
mid,2,6.00,left,1487166619.353318
high,97,53.50,right,1487166620.755461
low,45,27.50,left,1487166622.334160
high,53,31.50,right,1487166623.804789
mid,23,16.50,left,1487166625.384664
low,24,17.00,left,1487166626.841464
mid,80,45.00,right,1487166628.435451
high,19,14.50,left,1487166629.837615
mid,55,32.50,right,1487166631.647511
mid,101,55.50,right,1487166632.954400
low,39,24.50,left,1487166634.628497
mid,39,24.50,left,1487166636.179836
mid,70,40.00,right,1487166637.704247
high,113,61.50,right,1487166639.106559
low,44,27.00,left,1487166640.604234
high,2,6.00,left,1487166642.102273
high,88,49.00,right,1487166643.477986
low,27,18.50,left,1487166644.962342
mid,30,20.00,left,1487166646.582452
high,69,39.50,right,1487166647.984760
low,31,20.50,left,1487166649.470978
