object,stimulus,angle,response,time
high,97,53.50,right,1487236164.163007
mid,53,31.50,left,1487236165.892400
low,84,47.00,right,1487236167.117423
low,33,21.50,left,1487236168.941864
mid,24,17.00,left,1487236170.194111
high,16,13.00,left,1487236171.624118
high,32,21.00,NA,0.000000
mid,87,48.50,right,1487236174.620093
mid,52,31.00,right,1487236175.995486
mid,34,22.00,left,1487236177.505740
low,69,39.50,right,1487236178.840525
low,116,63.00,right,1487236180.393133
mid,98,54.00,right,1487236181.997347
high,54,32.00,left,1487236183.698271
low,26,18.00,left,1487236185.236452
low,31,20.50,left,1487236186.502178
high,73,41.50,right,1487236187.890914
high,44,27.00,right,1487236189.429776
high,48,29.00,right,1487236190.995674
mid,72,41.00,right,1487236192.479847
high,88,49.00,right,1487236194.004883
low,53,31.50,right,1487236195.761655
high,21,15.50,left,1487236197.313296
mid,101,55.50,right,1487236198.443129
low,25,17.50,left,1487236200.008472
low,13,11.50,left,1487236201.519815
low,67,38.50,right,1487236203.085524
high,9,9.50,left,1487236204.691277
mid,109,59.50,right,1487236206.188374
mid,57,33.50,right,1487236208.393022
low,91,50.50,right,1487236209.427843
mid,30,20.00,left,1487236210.747651
low,80,45.00,right,1487236212.218185
low,12,11.00,left,1487236213.838430
mid,116,63.00,right,1487236215.309335
mid,21,15.50,left,1487236216.929430
high,19,14.50,left,1487236218.522434
high,45,27.50,left,1487236220.061188
high,105,57.50,right,1487236221.545522
mid,16,13.00,left,1487236223.084419
high,7,8.50,left,1487236224.499792
low,102,56.00,right,1487236225.888327
high,52,31.00,right,1487236227.466642
low,43,26.50,left,1487236228.895212
low,29,19.50,left,1487236230.297201
low,92,51.00,right,1487236231.713204
mid,1,5.50,left,1487236233.223553
high,109,59.50,right,1487236234.802766
low,23,16.50,left,1487236236.340887
high,90,50.00,right,1487236237.729081
mid,11,10.50,left,1487236239.307852
mid,4,7.00,left,1487236240.777772
high,92,51.00,right,1487236242.261835
mid,92,51.00,right,1487236243.813309
low,114,62.00,right,1487236245.188042
high,23,16.50,left,1487236246.712703
low,100,55.00,right,1487236248.128462
mid,69,39.50,right,1487236249.679767
high,35,22.50,left,1487236251.151002
low,50,30.00,left,1487236252.634905
high,69,39.50,right,1487236254.242046
mid,0,5.00,left,1487236255.535170
high,53,31.50,right,1487236257.019290
low,19,14.50,left,1487236258.557657
mid,64,37.00,right,1487236260.083306
mid,82,46.00,right,1487236261.744459
low,32,21.00,left,1487236263.188029
mid,83,46.50,right,1487236264.604378
mid,97,53.50,right,1487236266.102351
low,73,41.50,right,1487236267.695415
high,24,17.00,left,1487236269.274167
low,71,40.50,right,1487236270.785185
high,95,52.50,right,1487236272.214602
high,114,62.00,right,1487236273.779741
high,37,23.50,left,1487236275.304893
low,72,41.00,right,1487236276.802287
mid,40,25.00,right,1487236278.217724
mid,36,23.00,left,1487236279.810849
high,10,10.00,left,1487236281.308178
low,1,5.50,left,1487236282.682468
mid,91,50.50,right,1487236284.138788
high,96,53.00,right,1487236285.662439
mid,119,64.50,right,1487236287.200386
mid,76,43.00,right,1487236288.861057
low,6,8.00,left,1487236290.276643
high,59,34.50,left,1487236291.828182
low,90,50.00,right,1487236293.229699
high,55,32.50,right,1487236294.795389
low,0,5.00,left,1487236296.291953
mid,61,35.50,right,1487236297.720973
low,88,49.00,right,1487236299.259046
high,106,58.00,right,1487236300.852357
mid,31,20.50,left,1487236302.323682
low,85,47.50,right,1487236303.726069
high,89,49.50,right,1487236305.183214
high,22,16.00,left,1487236306.666724
mid,58,34.00,right,1487236308.218622
mid,66,38.00,right,1487236309.702523
low,11,10.50,left,1487236311.268894
low,5,7.50,left,1487236312.779984
mid,105,57.50,right,1487236314.196233
high,6,8.00,left,1487236315.843929
high,2,6.00,left,1487236317.518784
mid,113,61.50,right,1487236318.920894
mid,111,60.50,right,1487236320.472649
mid,88,49.00,right,1487236322.038249
high,110,60.00,right,1487236323.575389
low,70,40.00,left,1487236325.153890
low,76,43.00,right,1487236326.664628
mid,48,29.00,right,1487236328.203299
low,117,63.50,right,1487236329.510220
high,20,15.00,left,1487236331.252708
high,70,40.00,right,1487236332.750599
low,110,60.00,right,1487236334.166875
